countof,Datum,years,Monat,Bundesland,Bundesland_count,Bundesland_count_scale,Stadt,Vorfallsart,Kurzbeschreibung,Verletzte,Tote,bewohnt,Politisch motivierte Tat nach Polizei- einschätzung?,Einzeltäter,Tätergruppe,Täter_organisiert,Ersttäter,Wiederholungstäter,Täter_ortsansässig,Täter_zugereist,ermittelnde_Polizei,ermittelnde_Staats_anwaltschaft,Verfahren_eingestellt,Anklage_erhoben,Urteil,Uhrzeit,Einbruch_Eingedrungen,lat,lng,cunti
1,11/14/2015,2015,11,Sachsen,13,1,Stolpen,Sachbeschädigung,Unbekannte fahren in einem Pkw vor die Unterkunft und werfen mit Pflastersteinen sechs Fensterscheiben von zwei Ergeschosswohnungen ein. 1.500 Euro Sachschaden entsteht. Fünf Wohnungen waren gerade frisch für Asylbewerber saniert worden.,0,0,nein,ja,,,,,,,,,,,,,23.30 Uhr,nein,51.043876,14.105172,1
1,10/9/2015,2015,10,Sachsen,13,1,Dresden-Südvorstadt,Sachbeschädigung,"Etwa 20 Täter werfen Feuerwerkskörper auf eine Zeltunterkunft. Die Polizei nimmt die Täter wegen des Verdachts auf Landfriedensbruch fest. Nahe der Unterkunft verhindert die Polizei, dass 50 Gewaltbereite zu dem Quartier vordringen, ein Polizeiauto wird beschädigt. ",0,0,ja,ja,nein,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,Dresden,  Dresden,nein,keine Auskunft,keine Auskunft,später Abend/nachts  ,nein,51.036109,13.728585,1
1,3/6/2015,2015,3,Sachsen,13,1,Freital,Tätlicher Angriff,Gewalttätige Demonstranten wollen zur Unterkunft Leonardo-Hotel gelangen und greifen Polizisten mit Feuerwerkskörpern an. Die Staatsanwaltschaft sagt – nach eigenen Angaben aus ermittlungstaktischen Gründen – nichts zu den Details des Vorfalls und zum Ermittlungsstand.,0,0,ja,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,Operatives Abwehrzentrum (OAZ),  Dresden,,keine Auskunft,keine Auskunft,"zwischen 14.30 und 7.3.2015, 4 Uhr",nein,51.0167,13.65,1
1,5/3/2015,2015,5,Sachsen,13,1,Freital,Sachbeschädigung,Unbekannte werfen Feuerwerkskörper auf das Gelände der Unterkunft im ehemaligen Leonardo-Hotel. Die Staatsanwaltschaft sagt aus ermittlungstaktischen Gründen nichts zu den Details des Vorfalls und zum Ermittlungsstand.,0,0,unbekannt,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,Operatives Abwehrzentrum (OAZ),Dresden   ,,keine Auskunft,keine Auskunft,unbekannt,nein,51.0167,13.65,1
1,5/15/2015,2015,5,Sachsen,13,1,Freital,Sachbeschädigung,Eine Asylbewerberunterkunft wird beschädigt. Die Staatsanwaltschaft will sich zu dem Vorfall nicht weiter äußern.,0,0,unbekannt,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,Operatives Abwehrzentrum (OAZ),Dresden,,keine Auskunft,keine Auskunft,unbekannt,unbekannt,51.0167,13.65,1
1,6/23/2015,2015,6,Sachsen,13,1,Freital,Tätlicher Angriff,"Aus einer Gruppe von 80 demonstrierenden Gegnern der Unterkunft im ehemaligen Leonardo-Hotel fliegen Eier in Richtung Polizei, ein Beamter wird getroffen, bleibt aber unverletzt. Auch etwa 200 Unterstützer der Unterkunft demonstrieren am Ort. ",0,0,nein,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,Operatives Abwehrzentrum (OAZ),Dresden,,keine Auskunft,keine Auskunft,19.30 Uhr bis 24. 5 Uhr,nein,51.0167,13.65,1
1,9/20/2015,2015,9,Sachsen,13,1,Freital,Sachbeschädigung,"Bei der Unterkunft gibt es einen Sprengstoffanschlag. Die Staatsanwaltschaft sagt nichts zu dem Vorfall – offiziell aus ""ermittlungstaktischen Gründen"".",0,keine Auskunft,ja,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,Operatives Abwehrzentrum (OAZ),  Dresden,,keine Auskunft,keine Auskunft,keine Angabe,keine Angabe,51.0167,13.65,1
1,9/21/2015,2015,9,Sachsen,13,1,Freital,Sachbeschädigung,Gewalttäter entzünden einen illegalen Sprengkörper auf dem Fensterbrett einer Wohnung eines Asylbewerbers aus Eritrea. Glas geht zu Bruch. ,0,0,ja,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,Operatives Abwehrzentrum (OAZ),  Dresden,,keine Auskunft,keine Auskunft,nachts,nein,51.0167,13.65,1
1,4/11/2015,2015,4,Sachsen,13,1,Leubnitz Neuostra,Tätlicher Angriff,Ein alkoholisierter Gewalttäter dringt in die Wohnung mit sechs Eritreern ein und bedroht sie mit dem Messer. Einer der Eritreer überwältigt ihn und ruft die Polizei. ,0,0,ja,ja,ja,nein,nein,nein,unbekannt,ja,nein,Operatives Abwehrzentrum (OAZ),  Dresden,nein,nein,nein,früher Abend,ja,51.016602,13.7666,1
1,10/7/2015,2015,10,Sachsen,13,1,Dresden-Prohlis,Brandanschlag,"Brandstifter schleudern vier Molotowcocktails auf eine noch leer stehende Unterkunft auf dem Gelände einer Grundschule und werfen Glasscheiben ein. Die Eingangstür verkohlt. Die Polizei ergreift vier Wochen später im Zuge von drei Durchsuchungen drei Männer (26, 31 und 32 Jahre) als Tatverdächtige, zwei kommen in Haft. Gegen sie ist Anklage erhoben. Eine Elterninitiative hatte sich gegen die Unterkunft stark gemacht. ",0,0,nein,ja,nein,ja,keine Auskunft,keine Auskunft,keine Auskunft,ja,nein,Operatives Abwehrzentrum (OAZ),  Dresden,nein,ja,nein,nachts,nein,51.001922,13.792566,1
